id,title,format,year,type,cover_key,cover_url,url,all_releases_url
1,OO:NÉ,cassette (lp),2017,album,oo.ne.jpg,,https://www.discogs.com/release/10275611-Apulati-Bien-OON%C3%89,https://www.discogs.com/fr/artist/5751087-Apulati-Bien?superFilter=Releases
2,Exvivo,cassette (lp),2023,album,exvivo.jpg,,https://www.discogs.com/release/28599484-Apulati-Bien-Exvivo,
3,D'ap,cassette (ep),2018,ep,dap.jpg,,https://www.discogs.com/fr/artist/5751087-Apulati-Bien?superFilter=Releases,
4,RER TRACKS,cassette (ep),2020,ep,rertracks.jpg,,https://www.discogs.com/release/16299626-Apulati-Bien-RER-TRACKS,
5,Crapulati 1,cassette (ep),2020,ep,crapulati.jpg,,https://www.discogs.com/fr/artist/5751087-Apulati-Bien?superFilter=Releases,
6,Azone,vinyl (green, lp),2022,album,azone.jpg,,https://www.discogs.com/release/22154026-Apulati-Bien-Azone,
7,Non Masse,vinyl (lp),2023,album,nonmasse.jpg,,https://www.discogs.com/release/26407793-Apulati-Bien-Non-Masse,
8,Ultimate Best Of Live,cassette (compilation),2021,compilation,ultimate.jpg,,https://www.discogs.com/release/21105961-Apulati-Bien-Ultimate-Best-Of-Live,
